timetable_id,classId,Department,day,slot,subject,type,batch,infrastructure,Teachers
1,Even_2023_SE,Computer,Monday,1,AOA,Theory,,108,Prof.Arpita R
1,Even_2023_SE,Computer,Monday,2,EM IV,Theory,,108,Prof.Dinesh C 
1,Even_2023_SE,Computer,Monday,3,EM IV (tutorial),Lab,B1,101,Prof.M Juned
1,Even_2023_SE,Computer,Monday,3,AOAL,Lab,B2,102,Prof.Arpita R
1,Even_2023_SE,Computer,Monday,3,OSL ,Lab,B3,103,Dr.Anupam C
1,Even_2023_SE,Computer,Monday,4,EM IV (tutorial),Lab,B1,101,Prof.M Juned
1,Even_2023_SE,Computer,Monday,4,AOAL,Lab,B2,102,Prof.Arpita R
1,Even_2023_SE,Computer,Monday,4,OSL ,Lab,B3,103,Dr.Anupam C
1,Even_2023_SE,Computer,Monday,5,DBMS,Theory,,108,Prof.Arpita R
1,Even_2023_SE,Computer,Monday,6,MP,Theory,,108,Prof.M Juned
1,Even_2023_SE,Computer,Monday,7,Major-Project,Project,,,0
1,Even_2023_SE,Computer,Tuesday,1,EM IV,Theory,,108,Prof.Dinesh C 
1,Even_2023_SE,Computer,Tuesday,2,AOA,Theory,,108,Prof.Arpita R
1,Even_2023_SE,Computer,Tuesday,3,AOAL,Lab,B1,102,Prof.Arpita R
1,Even_2023_SE,Computer,Tuesday,3,SKL-PP,Lab,B2,101,Prof.Ashfaque S
1,Even_2023_SE,Computer,Tuesday,3,MPL,Lab,B3,103,Prof.M Juned
1,Even_2023_SE,Computer,Tuesday,4,AOAL,Lab,B1,102,Prof.Arpita R
1,Even_2023_SE,Computer,Tuesday,4,SKL-PP,Lab,B2,101,Prof.Ashfaque S
1,Even_2023_SE,Computer,Tuesday,4,MPL,Lab,B3,103,Prof.M Juned
1,Even_2023_SE,Computer,Tuesday,5,OS,Theory,,108,Dr.Anupam C
1,Even_2023_SE,Computer,Tuesday,6,MP,Theory,,108,Prof.M Juned
1,Even_2023_SE,Computer,Tuesday,7,Major-Project,Project,,,0
1,Even_2023_SE,Computer,Wednesday,1,DBMS,Theory,,108,Prof.Arpita R
1,Even_2023_SE,Computer,Wednesday,2,EM IV,Theory,,108,Prof.Dinesh C 
1,Even_2023_SE,Computer,Wednesday,3,OSL ,Lab,B1,103,Dr.Anupam C
1,Even_2023_SE,Computer,Wednesday,3,MPL,Lab,B2,101,Prof.M Juned
1,Even_2023_SE,Computer,Wednesday,3,AOAL,Lab,B3,102,Prof.Arpita R
1,Even_2023_SE,Computer,Wednesday,4,OSL ,Lab,B1,103,Dr.Anupam C
1,Even_2023_SE,Computer,Wednesday,4,MPL,Lab,B2,101,Prof.M Juned
1,Even_2023_SE,Computer,Wednesday,4,AOAL,Lab,B3,102,Prof.Arpita R
1,Even_2023_SE,Computer,Wednesday,5,AOA,Theory,,108,Prof.Arpita R
1,Even_2023_SE,Computer,Wednesday,6,OS,Theory,,108,Dr.Anupam C
1,Even_2023_SE,Computer,Wednesday,7,Mentoring,Mentoring,,,0
1,Even_2023_SE,Computer,Thursday,1,MPL,Lab,B1,102,Prof.M Juned
1,Even_2023_SE,Computer,Thursday,1,DBMSL,Lab,B2,103,Prof.Arpita R
1,Even_2023_SE,Computer,Thursday,1,SKL-PP,Lab,B3,101,Prof.Ashfaque S
1,Even_2023_SE,Computer,Thursday,2,MPL,Lab,B1,102,Prof.M Juned
1,Even_2023_SE,Computer,Thursday,2,DBMSL,Lab,B2,103,Prof.Arpita R
1,Even_2023_SE,Computer,Thursday,2,SKL-PP,Lab,B3,101,Prof.Ashfaque S
1,Even_2023_SE,Computer,Thursday,3,MP,Theory,,108,Prof.M Juned
1,Even_2023_SE,Computer,Thursday,4,Coding Club,Club,,,0
1,Even_2023_SE,Computer,Thursday,4,Major-Project,Project,,,0
1,Even_2023_SE,Computer,Thursday,4,NPTEL,Mooc,,,0
